No.,Jenis Barang,No. Inventaris,Tanggal Perolehan,Th. Pembelian,Harga Pembelian,Nilai Penyusutan 10%,Nilai Penyusutan Th.Lalu,Nilai Buku,Keberadaan,Sumber Dana,Keadaan
1,AC Panasonic 1 pk,BMD/INV/52/1/1/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
2,AC Panasonic 1 pk,BMD/INV/52/1/2/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
3,AC Panasonic 1 pk,BMD/INV/52/1/3/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
4,AC Panasonic 1 pk,BMD/INV/52/1/4/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
5,AC Panasonic 1 pk,BMD/INV/52/1/5/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
6,AC Panasonic 1 pk,BMD/INV/52/1/6/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
7,AC Panasonic 1 pk,BMD/INV/52/1/7/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
8,AC Panasonic 1 pk,BMD/INV/52/1/8/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
9,AC Panasonic 1 pk,BMD/INV/52/1/9/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
10,AC Panasonic 1 pk,BMD/INV/52/1/10/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
11,AC Panasonic 1 pk,BMD/INV/52/1/11/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
12,AC Panasonic 1 pk,BMD/INV/52/1/12/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
13,AC Panasonic 1 pk,BMD/INV/52/1/13/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
14,AC Panasonic 1 pk,BMD/INV/52/1/14/2008,24 Maret 2008,2008," Rp. 3,000,000 "," Rp 300,000 "," Rp (300,000)"," Rp (600,000)",Kelas,YPTSH,Baik
